param_hash,entry,regime,sl_atr,tp_atr,risk_pct,trailing,passed_synthetic,expectancy,win_rate,profit_factor,sharpe_ratio,total_trades
e087ad19396c14a8ed8aa9843a66cd69,ssf_cross,adx_strong,3.0,5.0,0.03,False,False,0,0,0,0,0
3cc680fc53a8b4aa323285338f44f073,ssf_cross,adx_strong,3.0,4.0,0.03,False,False,0,0,0,0,0
8fa89ad8b3928880f4c2ab2b54919ccb,ssf_cross,hurst_trending,1.5,6.0,0.02,False,False,0,0,0,0,0
e85f3511a653e881109181a4c6c1201a,ssf_cross,adx_strong,2.0,2.0,0.05,True,False,0,0,0,0,0
992a24228c6bb2002de2ae8277ad6edf,ssf_cross,chop_trending,4.0,2.0,0.04,True,False,0,0,0,0,0
9114981738e872df0dbfca11e4009cf3,ssf_cross,chop_trending,3.0,6.0,0.02,False,False,0,0,0,0,0
a954ee559b4aeaf568a317dac4d1a404,ssf_cross,hurst_trending,2.0,3.0,0.02,False,False,0,0,0,0,0
c3760d03af24e70aa9e4659fe624384d,ssf_cross,chop_choppy,2.5,3.0,0.04,False,False,0,0,0,0,0
d870ea26130a11baeccd74c222706394,ssf_cross,hurst_trending,1.0,3.0,0.05,False,False,0,0,0,0,0
b88a2eb603d35416bd7f25e2ee9cf829,ssf_cross,hurst_trending,4.0,3.0,0.01,True,False,0,0,0,0,0
9a8024bf7a2ff115aa375d33d071273d,ssf_cross,none,1.5,6.0,0.02,False,False,0,0,0,0,0
d8a059b373fb3dcb41a3924ec896b7ae,ssf_cross,chop_trending,2.5,1.5,0.03,False,False,0,0,0,0,0
1b8a092958424ca66f494e164c782f83,ssf_cross,chop_trending,1.0,2.0,0.01,True,False,0,0,0,0,0
13378318ec2551fb6d92ed32649def6c,ssf_cross,chop_choppy,2.5,1.5,0.03,True,False,0,0,0,0,0
1edf99aaa785a700d99fa9a5c9ee9d3f,ssf_cross,none,3.0,1.5,0.01,True,False,0,0,0,0,0
481831f90489cc318cec3d2e53244ed9,ssf_cross,chop_choppy,2.0,3.0,0.05,True,False,0,0,0,0,0
750323e8afe319d645ca44f957a584ec,ssf_cross,adx_strong,2.0,4.0,0.04,True,False,0,0,0,0,0
3c62c1207811f8917731abfe55c6ba08,ssf_cross,chop_trending,1.0,6.0,0.03,False,False,0,0,0,0,0
53c337b688d5ace9090cc1f2464bde23,ssf_cross,chop_choppy,2.0,1.5,0.05,True,False,0,0,0,0,0
da3cc11a9201a9c79f1c738f6b89fb5c,ssf_cross,adx_strong,1.0,6.0,0.03,False,False,0,0,0,0,0
6678ef5a9c9bf76c3ee1293d0c59e7fd,ssf_cross,hurst_mean_reverting,2.5,1.5,0.02,False,False,0,0,0,0,0
c0d0c64b610904086b0e6d54bbf96a75,ssf_cross,none,1.5,2.0,0.04,False,False,0,0,0,0,0
ef384b982728f06ca89d295f46203a94,ssf_cross,hurst_trending,2.0,4.0,0.04,False,False,0,0,0,0,0
9a6cba01588054a07af901c42b887269,ssf_cross,chop_choppy,4.0,1.5,0.05,True,False,0,0,0,0,0
5b16cd243298bd2a8d9a628d255edeac,ssf_cross,chop_choppy,2.0,3.0,0.03,True,False,0,0,0,0,0
01cb1f4d89d7bc153c7eb3055134c413,ssf_cross,hurst_mean_reverting,2.0,2.0,0.03,False,False,0,0,0,0,0
f79b193f9926265707822f409168e8b9,ssf_cross,hurst_mean_reverting,2.0,6.0,0.05,True,False,0,0,0,0,0
9fdda12169a91bd06acda64b85168037,ssf_cross,adx_strong,1.0,5.0,0.05,False,False,0,0,0,0,0
873addaa72ec3ccf11a1d3b10f19ada6,ssf_cross,adx_strong,1.5,3.0,0.04,False,False,0,0,0,0,0
842911c37b664dd95f2899cd3353a611,ssf_cross,chop_trending,3.0,2.0,0.01,False,False,0,0,0,0,0
c681916eb4e74677b703d3bce3365a9b,ssf_cross,hurst_trending,1.0,6.0,0.03,True,False,0,0,0,0,0
a2367f413874518c4d4eebe4efbe5180,ssf_cross,chop_choppy,1.5,3.0,0.03,False,False,0,0,0,0,0
61aa324964b84cb64e710143fcc21251,ssf_cross,chop_choppy,3.0,1.5,0.01,False,False,0,0,0,0,0
0b87e08b99bd0b1ca9a416546d8bcad0,ssf_cross,none,2.0,2.0,0.03,False,False,0,0,0,0,0
44a36b343ee0d572e90ca12dbe020490,ssf_cross,hurst_mean_reverting,1.5,2.0,0.04,False,False,0,0,0,0,0
9ed81509f8c5fb0c0d1f2e8922dfc588,ssf_cross,hurst_mean_reverting,1.0,4.0,0.05,True,False,0,0,0,0,0
bc12969145cff1f182a825da09125f12,ssf_cross,chop_choppy,4.0,6.0,0.05,False,False,0,0,0,0,0
c4437bd2e657a15cd7dcd01099a2827c,ssf_cross,chop_choppy,2.0,2.0,0.03,False,False,0,0,0,0,0
b142fd44e96f8b92e483648db3410bdf,ssf_cross,hurst_mean_reverting,2.0,4.0,0.02,False,False,0,0,0,0,0
18f5b9d1a9ff2e6570f7e2f64b124e3c,ssf_cross,chop_trending,1.0,2.0,0.01,False,False,0,0,0,0,0
cde63affc5b4b51d630fb09a79c8a9d1,ssf_cross,adx_strong,3.0,4.0,0.05,False,False,0,0,0,0,0
ec438bdb7641fc3052e3b3a2c05be01f,ssf_cross,hurst_trending,2.5,3.0,0.03,False,False,0,0,0,0,0
ac19b4b29db833387d808dd28c60bbbd,ssf_cross,none,4.0,5.0,0.02,False,False,0,0,0,0,0
4d6d02f790a0fce16168f2004dabc74e,ssf_cross,none,2.0,5.0,0.04,True,False,0,0,0,0,0
f5e3d9beac38f78e95c9372668ae30a6,ssf_cross,chop_choppy,2.5,6.0,0.03,True,False,0,0,0,0,0
5c726ae082f5b263e8020bc0bfb1df7a,ssf_cross,none,1.5,2.0,0.04,True,False,0,0,0,0,0
a125ed9038d5a5c2aa47ea4a4b92725d,ssf_cross,chop_trending,1.0,1.5,0.04,True,False,0,0,0,0,0
b30cfed8183b5ca11b2898bc0d75b8fb,ssf_cross,adx_strong,1.0,6.0,0.05,False,False,0,0,0,0,0
be1c45a524037e1a20bcb63f389c1795,ssf_cross,hurst_mean_reverting,2.0,5.0,0.04,True,False,0,0,0,0,0
696777f40208b5157bdd5627c8d67aa7,ssf_cross,chop_choppy,2.5,2.0,0.03,False,False,0,0,0,0,0
c24b8e1699e8a81cefd59a0900f845b1,ssf_cross,adx_strong,2.0,2.0,0.02,True,False,0,0,0,0,0
9fbf750ddb464cce9b0df968d8a4b447,ssf_cross,hurst_trending,2.5,6.0,0.02,True,False,0,0,0,0,0
b19ff73c4cc0d2d8610d1bf3b14b0690,ssf_cross,none,4.0,2.0,0.01,False,False,0,0,0,0,0
be8de32468ee537d2e58b74d972a8236,ssf_cross,hurst_trending,2.5,1.5,0.04,True,False,0,0,0,0,0
0b1a897a178fc48af7f0df8859f583dd,ssf_cross,adx_strong,1.5,2.0,0.04,True,False,0,0,0,0,0
6508fac8bb34e7c84b33bd6f25b2eb59,ssf_cross,chop_trending,2.5,6.0,0.01,True,False,0,0,0,0,0
86b017005f3f56545e0e75c6d6bcfe4d,ssf_cross,hurst_trending,3.0,6.0,0.04,False,False,0,0,0,0,0
595330ca6de99193c6c9c7af88af76f9,ssf_cross,hurst_trending,1.0,6.0,0.01,False,False,0,0,0,0,0
3e703b38c0bd124e1a5fd51c8e540ac4,ssf_cross,hurst_trending,4.0,5.0,0.05,False,False,0,0,0,0,0
d550316a855711374196b7dc406769c1,ssf_cross,chop_choppy,4.0,5.0,0.03,False,False,0,0,0,0,0
557b368ac935cd82cca3b7bb4d2092f9,ssf_cross,hurst_mean_reverting,2.5,1.5,0.05,True,False,0,0,0,0,0
c66c3c99bc886dedbc1e7a28d2169c34,ssf_cross,hurst_mean_reverting,3.0,4.0,0.01,False,False,0,0,0,0,0
b00fffd9399cb09596b940974f72339d,ssf_cross,chop_choppy,2.5,2.0,0.02,False,False,0,0,0,0,0
439e36f6dfb84b4a1d14b479d0f529f2,ssf_cross,none,4.0,6.0,0.04,False,False,0,0,0,0,0
e1bb7812a853ac5709f0a36ac37a441c,ssf_cross,hurst_trending,1.0,5.0,0.02,True,False,0,0,0,0,0
becffd8ccd311ec77024e2df349556ab,ssf_cross,adx_strong,2.0,1.5,0.01,False,False,0,0,0,0,0
d8075170811fddf0b36564bb34609a62,ssf_cross,none,1.0,5.0,0.02,True,False,0,0,0,0,0
5d7b8ea4a1694ed6d97b5566ca868d90,ssf_cross,hurst_trending,3.0,1.5,0.03,True,False,0,0,0,0,0
bd8ce21e57bbe445b7f443f5543996ac,ssf_cross,hurst_mean_reverting,3.0,6.0,0.01,False,False,0,0,0,0,0
c2aa325fbc327df79bd93cb54e77dd5b,ssf_cross,chop_trending,2.0,5.0,0.04,False,False,0,0,0,0,0
225169ebe4f61ebbd45975092e12c0b8,ssf_cross,hurst_mean_reverting,2.5,2.0,0.02,True,False,0,0,0,0,0
7ad1a86cf84f4178babdfd58274f1f99,ssf_cross,hurst_trending,3.0,4.0,0.05,False,False,0,0,0,0,0
cacd6cd7860975d01cba5ee4b092c888,ssf_cross,hurst_mean_reverting,4.0,5.0,0.03,False,False,0,0,0,0,0
021b36533cd097c4e1d72edf3db443ac,ssf_cross,hurst_mean_reverting,3.0,2.0,0.02,False,False,0,0,0,0,0
95f9f6f3d976ba21a7f561ed2cf89025,ssf_cross,none,1.0,4.0,0.02,False,False,0,0,0,0,0
