Regime,Trigger,Param,SL_ATR,TP_ATR,Trades,WinRate,ProfitFactor,Expectancy
Chop_Squeeze,RSI_Extreme,20,2.0,0.5,4895,65.76,0.32,-7.264
Chop_Squeeze,RSI_Extreme,15,1.5,0.5,1940,63.31,0.32,-13.4125
No_Filter,BB_Exhaustion,2.5,1.5,0.5,11051,62.23,0.32,-3.6137
HTF_Trend,BB_Exhaustion,2.0,1.0,0.5,1026,58.61,0.32,-20.7385
No_Filter,RSI_Extreme,15,1.0,0.5,44493,54.35,0.32,-0.8991
No_Filter,StochRSI_Cross,N/A,1.0,0.5,57006,53.8,0.32,-0.7017
Chop_Squeeze,RSI_Extreme,20,1.5,0.5,4912,61.82,0.31,-7.6524
No_Filter,BB_Exhaustion,2.0,1.0,0.5,30153,54.06,0.31,-1.3266
Chop_Squeeze,BB_Exhaustion,2.0,2.0,0.5,1174,65.73,0.3,-14.7917
Chop_Squeeze,BB_Exhaustion,2.0,1.5,0.5,1174,61.66,0.3,-17.9414
Chop_Squeeze,StochRSI_Cross,N/A,1.5,0.5,4870,61.48,0.3,-7.9889
Chop_Squeeze,RSI_Extreme,10,1.0,0.5,418,56.12,0.3,-29.0733
No_Filter,RSI_Extreme,20,1.0,0.5,64440,54.35,0.3,-0.6208
HTF_Trend,RSI_Extreme,15,0.5,0.5,5567,43.39,0.3,-7.1875
No_Filter,BB_Exhaustion,3.0,2.0,0.5,3231,66.13,0.29,-9.7999
Chop_Squeeze,StochRSI_Cross,N/A,2.0,0.5,4783,64.98,0.29,-7.7375
No_Filter,BB_Exhaustion,3.0,1.5,0.5,3238,61.78,0.29,-10.7171
No_Filter,BB_Exhaustion,2.5,1.0,0.5,11273,53.72,0.29,-3.5508
HTF_Trend,RSI_Extreme,10,0.5,0.5,1840,44.36,0.29,-20.191
HTF_Trend,RSI_Extreme,20,0.5,0.5,11506,42.41,0.29,-3.4779
Chop_Squeeze,BB_Exhaustion,2.5,1.0,0.5,119,58.86,0.28,-31.0493
Chop_Squeeze,RSI_Extreme,15,1.0,0.5,1945,55.04,0.28,-16.8341
Chop_Squeeze,StochRSI_Cross,N/A,1.0,0.5,4993,53.63,0.27,-8.1838
Chop_Squeeze,RSI_Extreme,20,1.0,0.5,4935,53.56,0.27,-8.1684
Chop_Squeeze,BB_Exhaustion,2.0,1.0,0.5,1176,53.45,0.26,-23.1901
HTF_Trend,BB_Exhaustion,2.0,0.5,0.5,1053,43.88,0.26,-30.5907
HTF_Trend,StochRSI_Cross,N/A,0.5,0.5,26160,39.33,0.26,-1.5294
Chop_Squeeze,RSI_Extreme,10,0.5,0.5,420,41.85,0.25,-48.8836
No_Filter,BB_Exhaustion,3.0,1.0,0.5,3253,52.3,0.24,-11.7971
Chop_Squeeze,RSI_Extreme,15,0.5,0.5,1959,41.31,0.24,-19.8873
No_Filter,RSI_Extreme,10,0.5,0.5,27418,39.9,0.24,-1.459
No_Filter,BB_Exhaustion,2.0,0.5,0.5,31899,39.45,0.24,-1.254
No_Filter,BB_Exhaustion,2.5,0.5,0.5,11494,38.37,0.23,-3.4828
Chop_Squeeze,RSI_Extreme,20,0.5,0.5,5016,39.79,0.22,-8.2262
No_Filter,StochRSI_Cross,N/A,0.5,0.5,59572,39.39,0.22,-0.6715
Chop_Squeeze,StochRSI_Cross,N/A,0.5,0.5,5089,39.05,0.22,-8.1224
No_Filter,RSI_Extreme,15,0.5,0.5,48548,39.94,0.21,-0.8241
Chop_Squeeze,BB_Exhaustion,2.0,0.5,0.5,1179,39.22,0.21,-30.4984
No_Filter,BB_Exhaustion,3.0,0.5,0.5,3265,37.7,0.2,-12.2399
Chop_Squeeze,BB_Exhaustion,2.5,0.5,0.5,119,38.83,0.19,-60.1176
No_Filter,RSI_Extreme,20,0.5,0.5,71601,39.94,0.18,-0.5588
