Regime,Trigger,Param,SL_ATR,TP_ATR,Trades,WinRate,ProfitFactor,Expectancy
No_Filter,BB_Exhaustion,3.0,1.5,3.0,3157,36.42,0.74,-9.7459
HTF_Trend,RSI_Extreme,10,1.0,3.0,1686,31.7,0.74,-14.4229
No_Filter,RSI_Extreme,10,1.0,3.0,21578,29.77,0.74,-1.8539
No_Filter,RSI_Extreme,15,1.0,3.0,31607,29.58,0.74,-1.2659
HTF_Trend,RSI_Extreme,10,2.0,1.5,1661,57.25,0.73,-9.6144
HTF_Trend,RSI_Extreme,15,2.0,1.5,4743,56.37,0.73,-6.623
Chop_Squeeze,RSI_Extreme,10,1.5,1.5,413,53.08,0.73,-15.2958
HTF_Trend,BB_Exhaustion,2.0,1.5,1.5,935,52.68,0.73,-13.1847
No_Filter,RSI_Extreme,20,2.0,2.0,33351,49.97,0.73,-1.2001
No_Filter,RSI_Extreme,10,1.5,2.0,20804,44.16,0.73,-1.9228
No_Filter,BB_Exhaustion,3.0,2.0,3.0,3132,41.36,0.73,-9.4267
Chop_Squeeze,BB_Exhaustion,2.0,2.0,3.0,1053,41.09,0.73,-13.527
Chop_Squeeze,StochRSI_Cross,N/A,2.0,3.0,3948,40.98,0.73,-8.3451
HTF_Trend,RSI_Extreme,20,1.5,3.0,8512,37.3,0.73,-4.5831
Chop_Squeeze,StochRSI_Cross,N/A,1.5,3.0,4067,36.11,0.73,-8.6401
HTF_Trend,RSI_Extreme,15,1.0,3.0,4820,29.7,0.73,-7.9024
Chop_Squeeze,RSI_Extreme,15,2.0,2.0,1809,49.77,0.72,-10.936
Chop_Squeeze,BB_Exhaustion,2.0,2.0,2.0,1097,49.05,0.72,-12.4096
HTF_Trend,RSI_Extreme,10,1.0,1.5,1705,44.99,0.72,-13.7349
No_Filter,BB_Exhaustion,2.0,1.5,2.0,23277,44.39,0.72,-1.7186
HTF_Trend,RSI_Extreme,20,1.5,2.0,8901,44.12,0.72,-4.3674
HTF_Trend,StochRSI_Cross,N/A,2.0,3.0,16618,40.78,0.72,-2.4051
No_Filter,BB_Exhaustion,3.0,1.0,3.0,3196,28.8,0.72,-10.7261
HTF_Trend,RSI_Extreme,10,1.5,1.5,1670,51.95,0.71,-12.0114
HTF_Trend,RSI_Extreme,15,1.5,1.5,4800,51.11,0.71,-7.246
No_Filter,BB_Exhaustion,2.5,2.0,2.0,9919,49.86,0.71,-3.9222
No_Filter,RSI_Extreme,15,1.5,2.0,30725,44.05,0.71,-1.3026
No_Filter,RSI_Extreme,10,1.0,2.0,22970,36.24,0.71,-1.7419
HTF_Trend,StochRSI_Cross,N/A,1.5,3.0,18292,35.71,0.71,-2.1869
Chop_Squeeze,BB_Exhaustion,2.0,1.5,3.0,1058,35.08,0.71,-16.3316
No_Filter,RSI_Extreme,20,1.0,3.0,38521,29.37,0.71,-1.0387
Chop_Squeeze,RSI_Extreme,10,0.5,2.0,411,26.18,0.71,-31.0345
Chop_Squeeze,BB_Exhaustion,2.5,2.0,1.0,119,67.03,0.7,-11.5681
No_Filter,RSI_Extreme,10,2.0,1.5,20130,56.8,0.7,-1.984
No_Filter,RSI_Extreme,20,2.0,1.5,37597,56.38,0.7,-1.0646
HTF_Trend,RSI_Extreme,20,2.0,1.5,8949,55.76,0.7,-4.2324
Chop_Squeeze,RSI_Extreme,20,2.0,2.0,4142,49.17,0.7,-7.7481
Chop_Squeeze,StochRSI_Cross,N/A,2.0,2.0,4029,48.7,0.7,-8.2503
No_Filter,RSI_Extreme,20,1.5,2.0,37746,44.2,0.7,-1.0603
No_Filter,BB_Exhaustion,3.0,1.5,2.0,3176,43.88,0.7,-9.8526
No_Filter,BB_Exhaustion,2.5,1.5,2.0,10232,43.73,0.7,-3.8692
Chop_Squeeze,StochRSI_Cross,N/A,1.5,2.0,4155,43.34,0.7,-8.6722
No_Filter,StochRSI_Cross,N/A,1.5,2.0,36293,43.08,0.7,-1.1025
Chop_Squeeze,StochRSI_Cross,N/A,1.0,3.0,4318,28.23,0.7,-8.9341
HTF_Trend,BB_Exhaustion,2.5,2.0,0.5,58,82.76,0.69,-4.9669
HTF_Trend,BB_Exhaustion,2.0,1.5,1.0,955,64.15,0.69,-11.7628
No_Filter,BB_Exhaustion,2.0,2.0,1.5,22652,57.06,0.69,-1.7648
No_Filter,RSI_Extreme,15,2.0,1.5,30259,56.63,0.69,-1.3228
No_Filter,StochRSI_Cross,N/A,2.0,1.5,37106,55.19,0.69,-1.0784
No_Filter,RSI_Extreme,10,1.5,1.5,21594,50.87,0.69,-1.8525
HTF_Trend,StochRSI_Cross,N/A,2.0,2.0,17880,47.42,0.69,-2.2362
HTF_Trend,BB_Exhaustion,2.0,1.0,1.5,957,43.84,0.69,-17.8478
Chop_Squeeze,RSI_Extreme,15,1.5,2.0,1822,43.67,0.69,-13.1052
Chop_Squeeze,BB_Exhaustion,2.0,1.5,2.0,1101,42.74,0.69,-15.7713
HTF_Trend,StochRSI_Cross,N/A,1.5,2.0,19635,42.19,0.69,-2.0374
HTF_Trend,RSI_Extreme,15,1.0,2.0,4903,35.65,0.69,-7.8339
Chop_Squeeze,BB_Exhaustion,2.5,1.0,2.0,119,35.6,0.69,-23.8393
HTF_Trend,StochRSI_Cross,N/A,1.0,3.0,20815,27.92,0.69,-1.9218
No_Filter,BB_Exhaustion,2.5,0.5,3.0,11003,18.23,0.69,-3.6375
HTF_Trend,BB_Exhaustion,2.5,1.5,0.5,58,79.31,0.68,-6.5929
Chop_Squeeze,RSI_Extreme,15,2.0,1.5,1850,56.59,0.68,-10.8155
No_Filter,BB_Exhaustion,3.0,2.0,2.0,3151,48.9,0.68,-9.4986
Chop_Squeeze,RSI_Extreme,20,1.5,2.0,4187,43.52,0.68,-8.3377
