Trial,Strategy,PF,WR,Sharpe,Score,Params
48,CAPITULATION,1.23,66.5,-0.166,8.174,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0019600974112374027, 'b_upper': 0.9129352105159925, 'b_trigger_l': 0.12477869129929053, 'b_trigger_s': 0.8876516742520086, 'vol_mult': 2.86577334054527, 'atr_mult': 2.4199582525759324, 'sl_atr': 0.9, 'tp_atr': 0.7, 'max_bars_hold': 34}"
49,CAPITULATION,31.1,75.95,0.221,99.116,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.00027001504928086863, 'b_upper': 0.9232437257427604, 'b_trigger_l': 0.13384592716752453, 'b_trigger_s': 0.9193855749547296, 'vol_mult': 2.8041338485416656, 'atr_mult': 2.414789558077889, 'sl_atr': 1.9, 'tp_atr': 2.0, 'max_bars_hold': 20}"
51,CAPITULATION,50.64,85.17,-0.476,157.961,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.008550861043561443, 'b_upper': 0.9087036775994196, 'b_trigger_l': 0.15584771179899792, 'b_trigger_s': 0.9123461922777178, 'vol_mult': 2.8025888419857674, 'atr_mult': 2.45085446684524, 'sl_atr': 1.7, 'tp_atr': 2.0, 'max_bars_hold': 25}"
52,CAPITULATION,50.01,79.17,-0.584,155.363,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.009467297562561976, 'b_upper': 0.9195427913807029, 'b_trigger_l': 0.15860608164452838, 'b_trigger_s': 0.9430403367227929, 'vol_mult': 2.8195732228101362, 'atr_mult': 2.388527223015534, 'sl_atr': 1.7, 'tp_atr': 1.4, 'max_bars_hold': 25}"
53,CAPITULATION,50.45,84.72,1.925,181.747,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.011111154688176654, 'b_upper': 0.9097932832017517, 'b_trigger_l': 0.15963711345020518, 'b_trigger_s': 0.9465294697536112, 'vol_mult': 2.9875554930468597, 'atr_mult': 2.3503857760575806, 'sl_atr': 2.2, 'tp_atr': 1.4, 'max_bars_hold': 25}"
55,CAPITULATION,50.32,85.91,-0.545,157.006,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.011159429554302632, 'b_upper': 0.9106603225618349, 'b_trigger_l': 0.15735731368504127, 'b_trigger_s': 0.9408743895719929, 'vol_mult': 2.980685681980995, 'atr_mult': 2.6509952439808933, 'sl_atr': 1.6, 'tp_atr': 0.8, 'max_bars_hold': 15}"
61,CAPITULATION,49.96,70.83,-2.528,152.435,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.008049061244668823, 'b_upper': 0.9171552943145416, 'b_trigger_l': 0.15711347012123306, 'b_trigger_s': 0.933162886618221, 'vol_mult': 2.7554981788282022, 'atr_mult': 2.518612375804622, 'sl_atr': 0.8, 'tp_atr': 1.3, 'max_bars_hold': 32}"
62,CAPITULATION,26.62,67.68,-0.548,84.08,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.01875496303591665, 'b_upper': 0.9076379107285638, 'b_trigger_l': 0.13661776316159094, 'b_trigger_s': 0.9388196541527336, 'vol_mult': 2.9002529746038905, 'atr_mult': 2.6561113031392116, 'sl_atr': 0.9, 'tp_atr': 1.8, 'max_bars_hold': 27}"
63,CAPITULATION,25.66,63.33,-0.542,80.771,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.008037148144224354, 'b_upper': 0.9145565817282774, 'b_trigger_l': 0.15690450096562938, 'b_trigger_s': 0.8860166348706057, 'vol_mult': 2.987805429004341, 'atr_mult': 2.352412141295478, 'sl_atr': 1.2, 'tp_atr': 2.3, 'max_bars_hold': 23}"
64,CAPITULATION,51.4,87.98,1.644,162.642,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.008088413033455357, 'b_upper': 0.906676394103045, 'b_trigger_l': 0.15420453724354005, 'b_trigger_s': 0.9280803738786888, 'vol_mult': 2.7824603210610923, 'atr_mult': 2.4943876208341083, 'sl_atr': 2.1, 'tp_atr': 1.4, 'max_bars_hold': 30}"
