Trial,Strategy,PF,WR,Sharpe,Score,Params
46,CAPITULATION,27.64,73.59,100.33,188.609,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.06361260909610852, 'b_upper': 0.991297818624652, 'b_trigger_l': 0.13465353944885491, 'b_trigger_s': 0.8947203290003053, 'vol_mult': 2.8356640802282405, 'atr_mult': 2.9984593619759643, 'sl_atr': 5.2, 'tp_atr': 3.1, 'max_bars_hold': 84}"
48,CAPITULATION,3.24,66.22,99.662,114.004,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0643417419452389, 'b_upper': 0.9886764208147257, 'b_trigger_l': 0.13058269164780933, 'b_trigger_s': 0.9040555921789286, 'vol_mult': 2.6237700299963453, 'atr_mult': 2.8592645680227213, 'sl_atr': 4.3, 'tp_atr': 3.1, 'max_bars_hold': 77}"
50,CAPITULATION,1.38,54.97,2.077,9.714,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.06591209233774267, 'b_upper': 0.990897519374464, 'b_trigger_l': 0.09738945493020101, 'b_trigger_s': 0.9364686182405525, 'vol_mult': 2.2114746113237733, 'atr_mult': 2.835595730719197, 'sl_atr': 4.9, 'tp_atr': 4.4, 'max_bars_hold': 70}"
51,CAPITULATION,3.34,65.77,96.227,110.824,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.05694884863042798, 'b_upper': 0.9810625614334936, 'b_trigger_l': 0.13177476836498828, 'b_trigger_s': 0.9076735381936717, 'vol_mult': 2.616063537814032, 'atr_mult': 2.8588203500626435, 'sl_atr': 4.4, 'tp_atr': 3.0, 'max_bars_hold': 78}"
52,CAPITULATION,27.81,75.15,2.277,91.222,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.06517103791824869, 'b_upper': 0.9909096039490275, 'b_trigger_l': 0.12294278803512769, 'b_trigger_s': 0.9007128558717533, 'vol_mult': 2.847064079991379, 'atr_mult': 2.998362118453241, 'sl_atr': 5.3, 'tp_atr': 3.1, 'max_bars_hold': 90}"
53,CAPITULATION,1.09,63.35,1.399,9.004,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.05105350116091892, 'b_upper': 0.9787313574000702, 'b_trigger_l': 0.06322206407698269, 'b_trigger_s': 0.8791535305200594, 'vol_mult': 2.6719006324676395, 'atr_mult': 2.73672448842518, 'sl_atr': 4.3, 'tp_atr': 1.7, 'max_bars_hold': 84}"
54,CAPITULATION,1.76,64.79,0.52,10.279,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.04502001890889491, 'b_upper': 0.9872444861847258, 'b_trigger_l': 0.13877334614677161, 'b_trigger_s': 0.9214081560175508, 'vol_mult': 2.8762198609121654, 'atr_mult': 2.85169459256714, 'sl_atr': 4.7, 'tp_atr': 2.4, 'max_bars_hold': 77}"
55,CAPITULATION,2.48,68.7,1.717,14.027,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.06040482060982529, 'b_upper': 0.9055833385490137, 'b_trigger_l': 0.11490156203063011, 'b_trigger_s': 0.8805170495167866, 'vol_mult': 2.4052713113591686, 'atr_mult': 2.880938543862397, 'sl_atr': 5.8, 'tp_atr': 3.4, 'max_bars_hold': 92}"
56,CAPITULATION,3.69,69.48,1.62,17.638,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.06934696900249333, 'b_upper': 0.9921279757651061, 'b_trigger_l': 0.12657332723791737, 'b_trigger_s': 0.8984703800859888, 'vol_mult': 2.8900451534229186, 'atr_mult': 2.4896283548920466, 'sl_atr': 4.9, 'tp_atr': 1.3, 'max_bars_hold': 50}"
57,CAPITULATION,25.86,70.68,122.112,204.76,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.07884395738895555, 'b_upper': 0.967576330374906, 'b_trigger_l': 0.14183509093455093, 'b_trigger_s': 0.9108167482313677, 'vol_mult': 2.168481897282777, 'atr_mult': 2.919151069862411, 'sl_atr': 4.0, 'tp_atr': 3.7, 'max_bars_hold': 82}"
